123456,LOGIN,2021-09-24 22:17:11.590
123456,CONNECTED EMP DB,2021-09-24 22:17:11.633
123456,EMP CONFIRMED,2021-09-24 22:17:11.636
123456,LOGOUT,2021-09-24 22:17:11.638
123456,LOGIN,2021-09-24 22:24:21.574
123456,CONNECTED EMP DB,2021-09-24 22:24:21.604
123456,EMP CONFIRMED,2021-09-24 22:24:21.607
123456,LOGOUT,2021-09-24 22:24:21.609
123456,LOGIN,2021-09-24 22:24:41.011
123456,CONNECTED EMP DB,2021-09-24 22:24:41.039
123456,EMP CONFIRMED,2021-09-24 22:24:41.042
123456,GET EMP INFO,2021-09-24 22:24:41.055
123456,LOGOUT,2021-09-24 22:24:41.058
123456,LOGIN,2021-09-24 22:24:59.265
123456,CONNECTED EMP DB,2021-09-24 22:24:59.295
123456,EMP CONFIRMED,2021-09-24 22:24:59.298
123456,GET EMP INFO,2021-09-24 22:24:59.301
123456,LOGOUT,2021-09-24 22:24:59.313
123457,LOGIN,2021-09-24 22:26:21.542
123457,CONNECTED EMP DB,2021-09-24 22:26:21.585
123457,EMP CONFIRMED,2021-09-24 22:26:21.588
123457,LOGIN,2021-09-24 22:27:58.309
123457,CONNECTED EMP DB,2021-09-24 22:27:58.343
123457,EMP CONFIRMED,2021-09-24 22:28:18.713
123457,LOGIN,2021-09-24 22:30:29.840
123457,CONNECTED EMP DB,2021-09-24 22:30:29.888
123457,EMP CONFIRMED,2021-09-24 22:30:29.893
123457,LOGIN,2021-09-24 22:34:18.278
123457,CONNECTED EMP DB,2021-09-24 22:34:18.313
123457,LOGIN,2021-09-24 22:52:18.009
123457,CONNECTED EMP DB,2021-09-24 22:52:18.038
123457,EMP CONFIRMED,2021-09-24 22:52:18.041
123457,GET EMP INFO,2021-09-24 22:52:18.044
123457,LOGOUT,2021-09-24 22:52:18.046
123458,LOGIN,2021-09-24 22:52:45.075
123458,CONNECTED EMP DB,2021-09-24 22:52:45.105
123458,EMP CONFIRMED,2021-09-24 22:52:45.108
123458,GET EMP INFO,2021-09-24 22:52:45.110
123458,LOGOUT,2021-09-24 22:52:45.113
123456,LOGIN,2021-09-26 19:15:51.821
123456,CONNECTED EMP DB,2021-09-26 19:15:51.882
123456,EMP CONFIRMED,2021-09-26 19:15:51.885
123456,GET EMP INFO,2021-09-26 19:15:51.888
123456,LOGOUT,2021-09-26 19:15:51.890
123456,LOGIN,2021-09-26 19:18:58.801
123456,CONNECTED EMP DB,2021-09-26 19:18:58.829
123456,EMP CONFIRMED,2021-09-26 19:18:58.832
123456,GET CUST INFO,2021-09-26 19:19:20.873
123456,CONNECTED CUST DB,2021-09-26 19:19:20.883
123456,LOGIN,2021-09-26 19:21:45.446
123456,CONNECTED EMP DB,2021-09-26 19:21:45.477
123456,EMP CONFIRMED,2021-09-26 19:21:45.490
123456,GET CUST INFO,2021-09-26 19:21:52.109
123456,CONNECTED CUST DB,2021-09-26 19:21:52.135
123456,CUST CONFIRMED,2021-09-26 19:21:52.141
123456,LOGIN,2021-09-26 19:23:21.646
123456,CONNECTED EMP DB,2021-09-26 19:23:21.667
123456,EMP CONFIRMED,2021-09-26 19:23:21.670
123456,GET CUST INFO,2021-09-26 19:23:25.154
123456,CONNECTED CUST DB,2021-09-26 19:23:25.164
123456,CUST CONFIRMED,2021-09-26 19:23:25.167
